"id_del_pedido","fecha_del_pedido","fecha_de_envio","metodo_de_envio","id_del_cliente"
"CO-2024-146493",2024-06-01,2024-06-05,"Estándar","OG-12805"
"CO-2024-146822",2024-06-09,2024-06-14,"Estándar","IE-10675"
"CO-2024-147725",2024-09-14,2024-09-14,"Mismo día","DT-17110"
"CO-2024-147760",2024-11-04,2024-11-05,"Urgente","OL-16555"
"CO-2024-150959",2024-11-11,2024-11-13,"Urgente","VC-20995"
"CO-2024-151855",2024-05-27,2024-06-03,"Estándar","AJ-11110"
"CO-2024-152786",2024-03-12,2024-03-17,"Estándar","IR-14725"
"CO-2024-153822",2024-09-19,2024-09-25,"Estándar","KC-10105"
"CO-2024-156776",2024-08-07,2024-08-11,"Estándar","OM-15505"
"CO-2024-157903",2024-04-04,2024-04-08,"Estándar","YP-10705"
"CO-2024-159464",2024-05-18,2024-05-19,"Urgente","JZ-21355"
"CO-2024-159562",2024-09-09,2024-09-15,"Estándar","ED-16000"
"CO-2024-160633",2024-11-16,2024-11-21,"Estándar","IC-11380"
"CO-2024-163125",2024-10-09,2024-10-11,"Rápido","EC-17305"
"CO-2024-163692",2024-09-07,2024-09-09,"Urgente","OM-13240"
"CO-2024-165099",2024-12-11,2024-12-13,"Urgente","LR-13375"
"CO-2024-165687",2024-11-17,2024-11-23,"Estándar","AN-12355"
"CO-2024-165715",2024-12-02,2024-12-08,"Estándar","LB-11035"
"CO-2024-167017",2024-11-23,2024-11-25,"Urgente","DG-12850"
"CO-2024-169488",2024-09-07,2024-09-09,"Urgente","FV-10375"
"CO-2024-169810",2024-07-25,2024-07-31,"Estándar","YS-19360"
"CO-2024-184712",2024-06-18,2024-06-20,"Rápido","JT-19470"
"CU-2021-100895",2021-06-02,2021-06-06,"Estándar","LB-20785"
"CU-2021-101770",2021-03-31,2021-04-04,"Estándar","GA-16240"
"CU-2021-102715",2021-04-11,2021-04-13,"Rápido","SG-15370"
"CU-2021-103331",2021-08-26,2021-09-01,"Estándar","EG-16315"
"CU-2021-103366",2021-01-15,2021-01-17,"Urgente","RC-13990"
"CU-2021-104402",2021-06-17,2021-06-23,"Estándar","PM-13660"
"CU-2021-107573",2021-12-12,2021-12-17,"Estándar","BS-19150"
"CU-2021-107811",2021-04-29,2021-05-03,"Estándar","EP-16780"
"CU-2021-107993",2021-11-25,2021-11-30,"Estándar","HM-20110"
"CU-2021-109127",2021-12-21,2021-12-25,"Estándar","VM-15775"
"CU-2021-110422",2021-01-21,2021-01-23,"Rápido","VC-21400"
"CU-2021-112872",2021-12-06,2021-12-11,"Rápido","GG-19960"
"CU-2021-113166",2021-12-24,2021-12-26,"Urgente","LV-17185"
"CU-2021-113257",2021-12-16,2021-12-18,"Rápido","CG-20305"
"CU-2021-113362",2021-09-14,2021-09-19,"Estándar","AL-10960"
"CU-2021-114314",2021-10-11,2021-10-15,"Estándar","AA-13555"
"CU-2021-115133",2021-09-26,2021-09-30,"Estándar","FL-13450"
"CU-2021-115413",2021-08-26,2021-09-01,"Estándar","SM-18955"
"CU-2021-119375",2021-11-17,2021-11-22,"Estándar","GC-21895"
"CU-2021-120950",2021-11-06,2021-11-11,"Estándar","TT-14515"
"CU-2021-123477",2021-01-18,2021-01-21,"Rápido","NP-13195"
"CU-2021-123925",2021-12-17,2021-12-19,"Rápido","ES-19840"
"CU-2021-124023",2021-04-07,2021-04-10,"Urgente","IM-19015"
"CU-2021-124394",2021-10-17,2021-10-22,"Rápido","EO-21520"
"CU-2021-124464",2021-07-14,2021-07-20,"Estándar","NG-20515"
"CU-2021-125759",2021-02-08,2021-02-09,"Urgente","SN-18445"
"CU-2021-126361",2021-08-04,2021-08-09,"Rápido","JA-21670"
"CU-2021-126760",2021-07-26,2021-08-02,"Estándar","AR-16720"
"CU-2021-129091",2021-11-22,2021-11-27,"Estándar","OO-19885"
"CU-2021-131870",2021-09-09,2021-09-11,"Urgente","DS-18595"
"CU-2021-131947",2021-09-17,2021-09-22,"Estándar","GA-15970"
"CU-2021-133270",2021-06-06,2021-06-09,"Urgente","TO-11785"
"CU-2021-134061",2021-04-29,2021-05-04,"Estándar","DM-16840"
"CU-2021-142979",2021-04-12,2021-04-18,"Estándar","PC-13765"
"CU-2021-143581",2021-08-19,2021-08-23,"Estándar","BS-11365"
"CU-2021-146731",2021-11-03,2021-11-08,"Estándar","BA-10735"
"CU-2021-148369",2021-09-23,2021-09-27,"Estándar","FC-21115"
"CU-2021-152268",2021-09-02,2021-09-07,"Estándar","AA-20095"
"CU-2021-152849",2021-07-05,2021-07-12,"Estándar","NP-13195"
"CU-2021-155390",2021-12-06,2021-12-11,"Estándar","LB-11035"
"CU-2021-155544",2021-03-21,2021-03-25,"Estándar","BM-14440"
"CU-2021-156244",2021-08-12,2021-08-16,"Estándar","MB-13675"
"CU-2021-158274",2021-11-19,2021-11-24,"Rápido","CM-19675"
"CU-2021-160262",2021-06-09,2021-06-13,"Rápido","GC-21205"
"CU-2021-166590",2021-10-29,2021-11-02,"Estándar","UN-18625"
"CU-2021-166730",2021-12-30,2022-01-01,"Urgente","ED-13570"
"CU-2021-166954",2021-04-25,2021-04-30,"Estándar","TO-11305"
"CU-2021-169684",2021-10-20,2021-10-23,"Urgente","TU-14365"
"CU-2021-169775",2021-08-29,2021-09-02,"Rápido","CV-19945"
"CU-2022-101868",2022-06-09,2022-06-16,"Estándar","MU-17740"
"CU-2022-102491",2022-08-24,2022-08-28,"Estándar","CD-16435"
"CU-2022-102582",2022-09-15,2022-09-19,"Estándar","RN-18400"
"CU-2022-102722",2022-04-18,2022-04-19,"Urgente","BH-16570"
"CU-2022-103093",2022-02-03,2022-02-07,"Estándar","IC-14305"
"CU-2022-103793",2022-03-26,2022-03-31,"Estándar","HN-11245"
"CU-2022-104514",2022-01-02,2022-01-04,"Rápido","EA-12535"
"CU-2022-105158",2022-09-05,2022-09-10,"Estándar","DB-20860"
"CU-2022-105571",2022-11-07,2022-11-11,"Estándar","KS-12340"
"CU-2022-109862",2022-10-25,2022-10-30,"Estándar","JB-14890"
"CU-2022-112053",2022-10-11,2022-10-13,"Rápido","MG-20395"
"CU-2022-112767",2022-08-02,2022-08-06,"Estándar","RM-12985"
"CU-2022-114741",2022-12-06,2022-12-10,"Estándar","NV-15100"
"CU-2022-115567",2022-09-13,2022-09-18,"Estándar","FG-21910"
"CU-2022-115798",2022-11-13,2022-11-19,"Estándar","QG-16645"
"CU-2022-116841",2022-04-14,2022-04-18,"Estándar","NV-21130"
"CU-2022-116876",2022-02-14,2022-02-21,"Estándar","NL-21070"
"CU-2022-119592",2022-12-14,2022-12-16,"Rápido","FV-18280"
"CU-2022-122168",2022-08-21,2022-08-26,"Estándar","CD-14965"
"CU-2022-123960",2022-06-11,2022-06-16,"Estándar","TA-11605"
"CU-2022-124044",2022-07-23,2022-07-26,"Rápido","HS-17830"
"CU-2022-124653",2022-12-24,2022-12-26,"Urgente","DS-13120"
"CU-2022-131779",2022-06-12,2022-06-17,"Estándar","IB-16810"
"CU-2022-131842",2022-12-05,2022-12-08,"Urgente","MT-19525"
"CU-2022-132633",2022-02-03,2022-02-05,"Rápido","CM-16630"
"CU-2022-134026",2022-04-26,2022-05-02,"Estándar","IR-15745"
"CU-2022-134201",2022-04-10,2022-04-16,"Estándar","AC-14125"
"CU-2022-134782",2022-12-27,2022-12-31,"Estándar","GC-17350"
"CU-2022-135020",2022-05-28,2022-06-02,"Estándar","AU-17770"
"CU-2022-136105",2022-06-12,2022-06-16,"Estándar","RA-20035"
"CU-2022-136147",2022-11-13,2022-11-18,"Estándar","HD-14380"
"CU-2022-136749",2022-12-25,2022-12-27,"Rápido","DA-16900"
"CU-2022-137281",2022-06-13,2022-06-17,"Estándar","PC-10975"
"CU-2022-138674",2022-11-14,2022-11-17,"Urgente","OS-16585"
"CU-2022-141565",2022-09-20,2022-09-24,"Estándar","LB-11035"
"CU-2022-141754",2022-12-20,2022-12-25,"Estándar","RB-14200"
"CU-2022-142755",2022-09-04,2022-09-08,"Estándar","AN-12355"
"CU-2022-144288",2022-12-25,2022-12-31,"Estándar","EC-17305"
"CU-2022-145184",2022-11-27,2022-11-29,"Urgente","OB-16150"
"CU-2022-146255",2022-03-07,2022-03-10,"Urgente","ML-14140"
"CU-2022-147011",2022-06-18,2022-06-22,"Estándar","HR-14830"
"CU-2022-147102",2022-09-19,2022-09-26,"Estándar","JO-18610"
"CU-2022-148432",2022-11-07,2022-11-10,"Rápido","OH-18130"
"CU-2022-149342",2022-04-20,2022-04-25,"Estándar","LL-21160"
"CU-2022-149909",2022-11-13,2022-11-17,"Estándar","SG-19915"
"CU-2022-150714",2022-10-26,2022-11-01,"Estándar","CC-16690"
"CU-2022-153038",2022-12-18,2022-12-25,"Estándar","AC-19645"
"CU-2022-153423",2022-06-22,2022-06-27,"Estándar","MA-20455"
"CU-2022-153626",2022-07-09,2022-07-14,"Estándar","NQ-13870"
"CU-2022-156755",2022-01-12,2022-01-18,"Estándar","FL-21880"
"CU-2022-157035",2022-12-09,2022-12-12,"Urgente","PA-16600"
"CU-2022-159786",2022-10-12,2022-10-17,"Rápido","FC-19300"
"CU-2022-160059",2022-11-27,2022-12-01,"Estándar","AL-21190"
"CU-2022-160696",2022-09-06,2022-09-10,"Estándar","SP-12760"
"CU-2022-162761",2022-10-09,2022-10-13,"Estándar","SB-20575"
"CU-2022-163965",2022-11-20,2022-11-27,"Estándar","HE-20875"
"CU-2022-166604",2022-05-15,2022-05-20,"Rápido","IR-10690"
"CU-2022-168459",2022-11-22,2022-11-27,"Estándar","GA-17275"
"CU-2022-168732",2022-12-10,2022-12-16,"Estándar","DC-16660"
"CU-2022-169677",2022-01-13,2022-01-15,"Rápido","LC-16300"
"CU-2023-100041",2023-11-20,2023-11-25,"Estándar","PC-10975"
"CU-2023-100307",2023-12-15,2023-12-19,"Estándar","HQ-21475"
"CU-2023-101616",2023-09-03,2023-09-06,"Urgente","AF-12745"
"CU-2023-105830",2023-12-31,2024-01-02,"Urgente","PM-13660"
"CU-2023-105900",2023-09-17,2023-09-23,"Estándar","VC-11590"
"CU-2023-106558",2023-01-17,2023-01-21,"Estándar","JM-13495"
"CU-2023-106600",2023-04-08,2023-04-11,"Urgente","MC-19375"
"CU-2023-107615",2023-03-22,2023-03-25,"Urgente","AC-19645"
"CU-2023-108056",2023-09-29,2023-10-03,"Estándar","KP-14080"
"CU-2023-108196",2023-11-25,2023-12-02,"Estándar","NR-12505"
"CU-2023-108616",2023-09-29,2023-10-03,"Estándar","IV-15730"
"CU-2023-112123",2023-03-03,2023-03-08,"Estándar","CO-11710"
"CU-2023-115476",2023-03-17,2023-03-17,"Mismo día","LA-21835"
"CU-2023-115504",2023-03-12,2023-03-17,"Estándar","OH-18130"
"CU-2023-117541",2023-11-14,2023-11-20,"Estándar","WA-16195"
"CU-2023-118178",2023-03-19,2023-03-24,"Estándar","GO-12610"
"CU-2023-119074",2023-03-27,2023-03-31,"Estándar","FM-13180"
"CU-2023-119515",2023-08-14,2023-08-16,"Urgente","DR-21325"
"CU-2023-120369",2023-10-28,2023-10-28,"Mismo día","CL-21745"
"CU-2023-120929",2023-03-18,2023-03-21,"Rápido","VL-19780"
"CU-2023-121356",2023-11-20,2023-11-24,"Estándar","TG-20500"
"CU-2023-122518",2023-03-04,2023-03-08,"Rápido","IS-19345"
"CU-2023-124016",2023-09-23,2023-09-26,"Rápido","EC-15940"
"CU-2023-124149",2023-04-23,2023-04-26,"Urgente","MU-17740"
"CU-2023-127334",2023-12-15,2023-12-21,"Estándar","KD-18175"
"CU-2023-127985",2023-04-01,2023-04-05,"Rápido","SB-12910"
"CU-2023-129861",2023-06-17,2023-06-23,"Estándar","BJ-13345"
"CU-2023-129903",2023-12-01,2023-12-04,"Rápido","EM-14470"
"CU-2023-132997",2023-11-07,2023-11-09,"Urgente","VO-17215"
"CU-2023-133711",2023-11-26,2023-11-29,"Urgente","IG-17425"
"CU-2023-134208",2023-09-17,2023-09-23,"Estándar","NR-12505"
"CU-2023-135209",2023-12-29,2023-12-31,"Rápido","CB-17290"
"CU-2023-136483",2023-12-01,2023-12-06,"Estándar","TL-10390"
"CU-2023-137127",2023-06-16,2023-06-22,"Estándar","CM-15445"
"CU-2023-138478",2023-10-21,2023-10-26,"Rápido","LG-13390"
"CU-2023-138667",2023-12-27,2023-12-30,"Rápido","GG-18220"
"CU-2023-139269",2023-05-25,2023-05-30,"Estándar","AP-16045"
"CU-2023-142370",2023-09-19,2023-09-23,"Estándar","NV-21130"
"CU-2023-142958",2023-12-13,2023-12-20,"Estándar","OT-19630"
"CU-2023-146171",2023-03-11,2023-03-15,"Estándar","EA-16135"
"CU-2023-146374",2023-12-05,2023-12-10,"Rápido","LA-14800"
"CU-2023-146794",2023-09-26,2023-10-01,"Estándar","JC-19975"
"CU-2023-148684",2023-12-25,2023-12-29,"Estándar","AJ-21655"
"CU-2023-149783",2023-09-04,2023-09-07,"Rápido","AV-13315"
"CU-2023-149979",2023-09-23,2023-09-28,"Rápido","SG-19915"
"CU-2023-151169",2023-10-21,2023-10-26,"Estándar","EA-18295"
"CU-2023-153318",2023-10-25,2023-10-28,"Urgente","NC-15595"
"CU-2023-156573",2023-05-29,2023-06-02,"Estándar","YS-19360"
"CU-2023-157588",2023-07-14,2023-07-19,"Estándar","AR-10570"
"CU-2023-157742",2023-12-29,2023-12-31,"Rápido","QG-16645"
"CU-2023-158309",2023-11-26,2023-11-29,"Urgente","NJ-19060"
"CU-2023-160598",2023-08-26,2023-08-28,"Urgente","EB-20815"
"CU-2023-161662",2023-02-07,2023-02-09,"Urgente","FG-11410"
"CU-2023-161781",2023-09-29,2023-09-30,"Urgente","CA-12100"
"CU-2023-162138",2023-04-23,2023-04-27,"Estándar","CR-14620"
"CU-2023-162159",2023-09-16,2023-09-18,"Urgente","CB-12625"
"CU-2023-162383",2023-09-05,2023-09-11,"Estándar","GC-17350"
"CU-2023-163202",2023-09-27,2023-10-02,"Estándar","MO-11650"
"CU-2023-164588",2023-04-16,2023-04-23,"Estándar","IL-10915"
"CU-2023-164784",2023-05-01,2023-05-04,"Urgente","LB-14995"
"CU-2023-165169",2023-06-05,2023-06-11,"Estándar","ER-15235"
"CU-2023-165827",2023-11-04,2023-11-09,"Estándar","WL-17665"
"CU-2023-166282",2023-04-16,2023-04-22,"Estándar","BC-19075"
"CU-2023-166485",2023-02-20,2023-02-27,"Estándar","NJ-10210"
"CU-2023-169103",2023-03-08,2023-03-13,"Estándar","FG-21910"
"CU-2023-169369",2023-12-12,2023-12-18,"Estándar","TD-14050"
"CU-2024-100482",2024-04-11,2024-04-15,"Estándar","ES-15130"
"CU-2024-101637",2024-03-24,2024-03-25,"Mismo día","KA-10615"
"CU-2024-102736",2024-09-05,2024-09-09,"Estándar","MA-17095"
"CU-2024-104381",2024-12-16,2024-12-23,"Estándar","HU-19810"
"CU-2024-104885",2024-03-02,2024-03-08,"Estándar","AA-13555"
"CU-2024-105480",2024-12-20,2024-12-26,"Estándar","DC-13225"
"CU-2024-105935",2024-01-26,2024-01-31,"Estándar","UR-11500"
"CU-2024-107342",2024-12-17,2024-12-22,"Estándar","FA-21715"
"CU-2024-107384",2024-12-04,2024-12-08,"Estándar","NV-21130"
"CU-2024-107517",2024-02-05,2024-02-09,"Estándar","AV-14335"
"CU-2024-109183",2024-12-04,2024-12-09,"Estándar","RZ-16915"
"CU-2024-111024",2024-07-03,2024-07-06,"Rápido","RA-20035"
"CU-2024-115448",2024-11-11,2024-11-14,"Urgente","AT-18025"
"CU-2024-116645",2024-11-30,2024-12-04,"Estándar","NM-17725"
"CU-2024-117198",2024-08-31,2024-09-05,"Estándar","LB-11035"
"CU-2024-118402",2024-09-29,2024-10-04,"Estándar","FC-15280"
"CU-2024-119284",2024-06-15,2024-06-20,"Estándar","GC-21205"
"CU-2024-121314",2024-09-23,2024-09-26,"Urgente","FG-11410"
"CU-2024-121419",2024-04-02,2024-04-04,"Urgente","HQ-21475"
"CU-2024-121580",2024-05-29,2024-06-04,"Estándar","CF-17410"
"CU-2024-121839",2024-09-24,2024-09-28,"Estándar","FB-18115"
"CU-2024-122672",2024-11-04,2024-11-09,"Estándar","CD-14965"
"CU-2024-122693",2024-02-19,2024-02-21,"Rápido","JO-18610"
"CU-2024-123351",2024-09-21,2024-09-25,"Estándar","DL-16480"
"CU-2024-124898",2024-09-11,2024-09-15,"Estándar","SB-12910"
"CU-2024-125745",2024-06-30,2024-07-04,"Estándar","EC-13045"
"CU-2024-126179",2024-07-03,2024-07-07,"Estándar","HO-12460"
"CU-2024-126221",2024-12-30,2025-01-05,"Estándar","SO-12430"
"CU-2024-127516",2024-12-28,2025-01-03,"Estándar","SA-14005"
"CU-2024-128118",2024-11-24,2024-12-01,"Estándar","EM-17380"
"CU-2024-128363",2024-08-13,2024-08-18,"Estándar","DG-12850"
"CU-2024-128475",2024-08-26,2024-09-01,"Estándar","SC-20680"
"CU-2024-128629",2024-07-10,2024-07-14,"Rápido","HE-11155"
"CU-2024-128769",2024-09-07,2024-09-12,"Estándar","BR-12955"
"CU-2024-129224",2024-03-17,2024-03-23,"Estándar","CA-10630"
"CU-2024-129462",2024-06-16,2024-06-21,"Rápido","IR-15745"
"CU-2024-129910",2024-03-30,2024-04-03,"Estándar","AJ-17320"
"CU-2024-130351",2024-12-05,2024-12-08,"Urgente","EL-19570"
"CU-2024-132213",2024-04-25,2024-04-26,"Urgente","AE-18775"
"CU-2024-132346",2024-11-07,2024-11-11,"Estándar","BC-19075"
"CU-2024-133648",2024-06-25,2024-07-02,"Estándar","KM-17755"
"CU-2024-133781",2024-06-22,2024-06-23,"Urgente","DG-12850"
"CU-2024-134607",2024-10-03,2024-10-08,"Rápido","TC-15040"
"CU-2024-135076",2024-04-13,2024-04-17,"Estándar","FL-21880"
"CU-2024-137918",2024-09-29,2024-10-06,"Estándar","IV-15730"
"CU-2024-139717",2024-08-24,2024-08-26,"Rápido","AA-13015"
"CU-2024-139787",2024-09-19,2024-09-23,"Estándar","EA-16135"
"CU-2024-139913",2024-10-23,2024-10-29,"Estándar","SS-16105"
"CU-2024-140480",2024-07-08,2024-07-12,"Estándar","LA-14800"
"CU-2024-141117",2024-10-02,2024-10-08,"Estándar","KA-16090"
"CU-2024-141446",2024-09-16,2024-09-18,"Rápido","EC-12700"
"CU-2024-143063",2024-08-10,2024-08-15,"Estándar","NV-15100"
"CU-2024-143378",2024-09-19,2024-09-25,"Estándar","BC-16210"
"CU-2024-144694",2024-09-24,2024-09-26,"Rápido","TA-11605"
"CU-2024-145702",2024-05-19,2024-05-24,"Rápido","DT-10075"
"CU-2024-146164",2024-12-22,2024-12-26,"Estándar","CM-12190"
"CU-2024-146192",2024-04-22,2024-04-26,"Estándar","QG-11725"
"CU-2024-146878",2024-09-21,2024-09-27,"Estándar","AB-12865"
"CU-2024-147333",2024-12-14,2024-12-20,"Estándar","OL-16555"
"CU-2024-148446",2024-12-10,2024-12-14,"Rápido","MS-17845"
"CU-2024-148474",2024-06-12,2024-06-19,"Estándar","AJ-17320"
"CU-2024-148768",2024-11-30,2024-12-02,"Rápido","AE-18775"
"CU-2024-148810",2024-06-26,2024-07-01,"Estándar","JM-12880"
"CU-2024-148999",2024-01-30,2024-02-04,"Estándar","NQ-13870"
"CU-2024-149048",2024-05-13,2024-05-17,"Estándar","MO-11650"
"CU-2024-151218",2024-06-20,2024-06-23,"Urgente","IM-19015"
"CU-2024-151428",2024-09-21,2024-09-26,"Estándar","AZ-19495"
"CU-2024-152492",2024-07-06,2024-07-06,"Mismo día","FM-10585"
"CU-2024-154214",2024-03-20,2024-03-25,"Rápido","UR-21595"
"CU-2024-155558",2024-10-26,2024-11-02,"Estándar","DS-18895"
"CU-2024-155698",2024-03-08,2024-03-11,"Urgente","CL-21745"
"CU-2024-157854",2024-04-08,2024-04-15,"Estándar","BJ-13345"
"CU-2024-157931",2024-09-17,2024-09-22,"Rápido","RV-17800"
"CU-2024-159506",2024-11-27,2024-12-02,"Estándar","BC-16210"
"CU-2024-160458",2024-05-27,2024-05-29,"Rápido","EH-13945"
"CU-2024-160724",2024-05-05,2024-05-10,"Estándar","FL-21880"
"CU-2024-161053",2024-09-22,2024-09-23,"Urgente","IR-15745"
"CU-2024-161088",2024-05-25,2024-05-29,"Estándar","FB-18115"
"CU-2024-161130",2024-11-03,2024-11-08,"Estándar","LA-11275"
"CU-2024-161655",2024-05-13,2024-05-18,"Rápido","FB-11905"
"CU-2024-161851",2024-04-15,2024-04-17,"Urgente","NM-11095"
"CU-2024-162481",2024-09-25,2024-09-29,"Estándar","AR-11995"
"CU-2024-162558",2024-10-02,2024-10-05,"Urgente","OM-13240"
"CU-2024-163335",2024-09-24,2024-09-27,"Urgente","IE-10675"
"CU-2024-164756",2024-09-18,2024-09-22,"Estándar","UP-20140"
"CU-2024-164917",2024-12-02,2024-12-07,"Estándar","LV-17905"
"CU-2024-165204",2024-11-13,2024-11-16,"Rápido","LC-17935"
"CU-2024-166709",2024-11-17,2024-11-22,"Estándar","TC-15040"
"CU-2024-167094",2024-10-21,2024-10-22,"Urgente","NL-12835"
"CU-2024-168123",2024-03-05,2024-03-05,"Mismo día","RM-16060"
"CU-2024-169012",2024-07-10,2024-07-14,"Estándar","LA-11275"
"CU-2024-169411",2024-12-24,2024-12-29,"Estándar","KA-10615"
"CU-2024-169474",2024-02-04,2024-02-09,"Estándar","HP-15355"
"DO-2021-101175",2021-12-09,2021-12-14,"Estándar","BR-12955"
"DO-2021-101392",2021-12-07,2021-12-13,"Estándar","CA-10630"
"DO-2021-102085",2021-10-04,2021-10-09,"Estándar","IB-16015"
"DO-2021-103310",2021-05-10,2021-05-15,"Estándar","PZ-14680"
"DO-2021-103373",2021-05-18,2021-05-24,"Estándar","CF-11755"
"DO-2021-103660",2021-08-25,2021-08-30,"Estándar","GG-18220"
"DO-2021-103940",2021-09-17,2021-09-21,"Estándar","AA-11515"
"DO-2021-104269",2021-03-01,2021-03-06,"Rápido","DM-13060"
"DO-2021-104563",2021-03-07,2021-03-12,"Estándar","CO-12715"
"DO-2021-108861",2021-05-28,2021-06-01,"Estándar","BR-17260"
"DO-2021-109036",2021-12-20,2021-12-25,"Estándar","LC-16510"
"DO-2021-111059",2021-02-03,2021-02-06,"Rápido","VC-21400"
"DO-2021-111192",2021-07-30,2021-08-05,"Estándar","WM-21430"
"DO-2021-111962",2021-09-29,2021-10-04,"Estándar","EG-14170"
"DO-2021-116834",2021-10-11,2021-10-16,"Estándar","OM-13240"
"DO-2021-119081",2021-09-12,2021-09-19,"Estándar","HV-21385"
"DO-2021-121762",2021-02-14,2021-02-18,"Estándar","AL-17395"
"DO-2021-124702",2021-11-18,2021-11-25,"Estándar","LA-17785"
"DO-2021-124730",2021-11-26,2021-11-26,"Mismo día","VZ-17245"
"DO-2021-126683",2021-09-29,2021-10-01,"Rápido","SM-18955"
"DO-2021-127012",2021-08-11,2021-08-15,"Estándar","PZ-14680"
"DO-2021-127131",2021-11-24,2021-11-30,"Estándar","HR-14830"
"DO-2021-127586",2021-09-26,2021-09-30,"Estándar","BC-12400"
"DO-2021-128209",2021-11-17,2021-11-22,"Estándar","FO-14710"
"DO-2021-128524",2021-11-11,2021-11-13,"Urgente","JU-17515"
"DO-2021-130358",2021-06-23,2021-06-26,"Urgente","MS-13330"
"DO-2021-131310",2021-07-12,2021-07-18,"Estándar","AP-12565"
"DO-2021-132787",2021-09-19,2021-09-23,"Estándar","OH-18130"
"DO-2021-133424",2021-03-30,2021-04-04,"Estándar","TN-13600"
"DO-2021-133543",2021-12-22,2021-12-26,"Estándar","DC-16660"
"DO-2021-134726",2021-11-02,2021-11-07,"Rápido","CC-20755"
"DO-2021-134971",2021-06-07,2021-06-10,"Rápido","NM-11095"
"DO-2021-135657",2021-06-03,2021-06-07,"Rápido","VC-20725"
"DO-2021-135993",2021-05-28,2021-06-02,"Estándar","HL-18835"
"DO-2021-137351",2021-09-30,2021-10-04,"Estándar","FT-13615"
"DO-2021-139640",2021-11-07,2021-11-11,"Rápido","UR-21595"
"DO-2021-141257",2021-06-08,2021-06-14,"Estándar","HV-11950"
"DO-2021-142769",2021-09-13,2021-09-13,"Mismo día","CS-19390"
"DO-2021-143168",2021-10-18,2021-10-23,"Rápido","VC-15085"
"DO-2021-144414",2021-06-17,2021-06-21,"Estándar","PL-14425"
"DO-2021-148194",2021-05-04,2021-05-07,"Urgente","BS-11365"
"DO-2021-148915",2021-11-01,2021-11-05,"Estándar","AR-18370"
"DO-2021-150301",2021-07-08,2021-07-10,"Urgente","AT-18025"
"DO-2021-153150",2021-07-01,2021-07-06,"Rápido","TN-13600"
"DO-2021-156314",2021-12-24,2021-12-26,"Urgente","CS-19390"
"DO-2021-156587",2021-03-07,2021-03-08,"Urgente","OL-10015"
"DO-2021-158225",2021-09-22,2021-09-28,"Estándar","HM-20110"
"DO-2021-159611",2021-12-27,2022-01-01,"Rápido","EG-16315"
"DO-2021-162278",2021-10-26,2021-10-30,"Rápido","FM-10585"
"DO-2021-165568",2021-02-15,2021-02-19,"Estándar","GV-11020"
"DO-2021-166471",2021-08-09,2021-08-13,"Estándar","LB-17650"
"DO-2021-167486",2021-11-27,2021-12-01,"Estándar","LG-15145"
"DO-2021-169460",2021-04-19,2021-04-21,"Rápido","DS-18595"
"DO-2021-169726",2021-08-09,2021-08-13,"Estándar","LS-15985"
"DO-2021-169803",2021-04-06,2021-04-12,"Estándar","RA-20260"
"DO-2022-100216",2022-04-13,2022-04-14,"Urgente","FA-14875"
"DO-2022-102036",2022-09-21,2022-09-27,"Estándar","HH-12130"
"DO-2022-103723",2022-12-01,2022-12-06,"Estándar","TO-11305"
"DO-2022-104297",2022-05-29,2022-05-31,"Urgente","CA-12100"
"DO-2022-109638",2022-12-15,2022-12-22,"Estándar","LS-15985"
"DO-2022-110457",2022-03-02,2022-03-06,"Estándar","AG-13090"
"DO-2022-111829",2022-03-19,2022-03-20,"Urgente","TU-14365"
"DO-2022-112116",2022-03-16,2022-03-18,"Rápido","NS-15475"
"DO-2022-112305",2022-11-20,2022-11-25,"Estándar","GA-16405"
"DO-2022-112823",2022-12-10,2022-12-16,"Estándar","CV-19945"
"DO-2022-114237",2022-03-13,2022-03-15,"Urgente","GA-17275"
"DO-2022-116638",2022-01-28,2022-01-31,"Rápido","LS-15985"
"DO-2022-117772",2022-09-10,2022-09-12,"Rápido","LB-17575"
"DO-2022-118423",2022-03-24,2022-03-27,"Urgente","LG-13390"
"DO-2022-118948",2022-05-28,2022-06-03,"Estándar","IA-18490"
"DO-2022-119907",2022-12-01,2022-12-08,"Estándar","AC-17140"
"DO-2022-120880",2022-05-29,2022-06-03,"Estándar","CA-15850"
"DO-2022-121272",2022-03-29,2022-04-04,"Estándar","AE-13435"
"DO-2022-123232",2022-12-14,2022-12-16,"Rápido","AG-13630"
"DO-2022-124800",2022-09-26,2022-09-30,"Estándar","BE-19540"
"DO-2022-124919",2022-05-31,2022-06-02,"Urgente","MC-20650"
"DO-2022-125416",2022-11-02,2022-11-02,"Mismo día","EC-16540"
"DO-2022-125934",2022-09-11,2022-09-18,"Estándar","VG-20560"
"DO-2022-126214",2022-12-21,2022-12-24,"Rápido","JH-15880"
"DO-2022-127544",2022-08-08,2022-08-12,"Estándar","CR-19585"
"DO-2022-127824",2022-10-18,2022-10-22,"Estándar","VM-15775"
"DO-2022-128993",2022-09-12,2022-09-17,"Rápido","RM-12670"
"DO-2022-130736",2022-12-07,2022-12-09,"Urgente","AV-15490"
"DO-2022-130883",2022-09-26,2022-10-02,"Estándar","EO-21520"
"DO-2022-131072",2022-11-05,2022-11-05,"Mismo día","QG-16645"
"DO-2022-132101",2022-03-19,2022-03-25,"Estándar","VP-15550"
